#Idx,Group
269,35
270,33
271,43
272,36
273,25
274,34
275,35
276,30
277,32
278,43
279,33
280,26
281,35
282,29
283,34
284,36
285,43
286,38
287,57
288,38
289,57
290,38
291,57
292,35
293,33
294,38
295,25
296,30
297,57
298,32
299,38
300,57
301,43
302,38
303,57
304,34
305,38
306,35
307,57
308,36
309,29
310,26
311,38
312,33
313,57
314,43
315,38
316,32
317,57
318,35
319,30
320,34
321,38
322,25
323,57
324,43
325,38
326,36
327,33
328,57
329,29
330,35
331,38
332,26
333,34
334,57
335,32
336,43
337,38
338,30
339,35
340,57
341,33
342,25
343,36
344,38
345,43
346,57
347,34
348,29
349,38
350,32
351,35
352,26
353,57
354,33
355,43
356,30
357,38
358,36
359,57
360,34
361,35
362,25
363,38
364,29
365,32
366,43
367,33
368,57
369,47
370,58
371,47
372,58
373,47
374,26
375,58
376,38
377,47
378,35
379,58
380,36
381,30
382,47
383,34
384,58
385,57
386,47
387,58
388,43
389,47
390,38
391,58
392,33
393,25
394,32
395,47
396,29
397,58
398,35
399,57
400,47
401,58
402,34
403,38
404,47
405,43
406,36
407,26
408,58
409,30
410,57
411,47
412,33
413,35
414,58
415,38
416,32
417,47
418,29
419,25
420,58
421,43
422,57
423,34
424,47
425,36
426,58
427,38
428,35
429,33
430,47
431,30
432,26
433,57
434,58
435,43
436,32
437,47
438,38
439,34
440,29
441,58
442,35
443,25
444,57
445,47
446,36
447,33
448,58
449,43
450,38
451,16
452,47
453,26
454,32
455,34
456,57
457,35
458,58
459,42
460,44
461,42
462,44
463,42
464,44
465,47
466,42
467,38
468,29
469,44
470,42
471,33
472,43
473,16
474,44
475,42
476,58
477,25
478,44
479,57
480,42
481,44
482,47
483,35
484,42
485,16
486,34
487,44
488,32
489,38
490,58
491,42
492,26
493,44
494,43
495,47
496,42
497,57
498,33
499,44
500,29
501,16
502,58
503,42
504,35
505,38
506,44
507,25
508,47
509,42
510,34
511,44
512,32
513,57
514,16
515,58
516,43
517,42
518,44
519,33
520,47
521,38
522,26
523,42
524,35
525,16
526,58
527,17
528,44
529,57
530,34
531,42
532,47
533,43
534,25
535,44
536,32
537,38
538,58
539,16
540,42
541,33
542,35
543,44
544,57
545,47
546,16
547,42
548,26
549,34
550,17
551,58
552,43
553,44
554,38
555,51
556,40
557,51
558,40
559,51
560,40
561,51
562,42
563,40
564,47
565,51
566,17
567,40
568,57
569,35
570,25
571,51
572,33
573,44
574,40
575,16
576,51
577,58
578,40
579,42
580,51
581,38
582,40
583,43
584,16
585,47
586,44
587,34
588,51
589,40
590,26
591,17
592,42
593,51
594,57
595,58
596,40
597,35
598,44
599,51
600,17
601,16
602,40
603,47
604,38
605,42
606,51
607,25
608,16
609,43
610,40
611,58
612,44
613,34
614,57
615,16
616,51
617,40
618,42
619,35
620,47
621,51
622,17
623,17
624,38
625,16
626,44
627,40
628,17
629,58
630,51
631,43
632,42
633,57
634,40
635,16
636,47
637,34
638,25
639,44
640,51
641,16
642,35
643,38
644,40
645,58
646,42
647,51
648,16
649,17
650,44
651,17
652,17
653,40
654,17
655,17
656,47
657,50
658,52
659,50
660,52
661,50
662,52
663,50
664,51
665,52
666,42
667,50
668,52
669,17
670,50
671,58
672,38
673,40
674,16
675,52
676,16
677,50
678,44
679,16
680,52
681,16
682,51
683,50
684,47
685,52
686,17
687,40
688,42
689,50
690,16
691,17
692,52
693,51
694,17
695,50
696,58
697,17
698,44
699,52
700,17
701,38
702,40
703,50
704,16
705,17
706,52
707,42
708,47
709,51
710,50
711,16
712,17
713,16
714,52
715,44
716,40
717,50
718,17
719,58
720,16
721,16
722,52
723,51
724,38
725,42
726,50
727,17
728,47
729,17
730,40
731,52
732,16
733,17
734,44
735,50
736,17
737,17
738,51
739,58
740,52
741,42
742,16
743,50
744,40
745,17
746,16
747,16
748,38
749,52
750,47
751,51
752,44
753,16
754,50
755,16
756,40
757,17
758,52
759,17
760,41
761,17
762,59
763,41
764,42
765,59
766,17
767,41
768,17
769,59
770,41
771,50
772,59
773,41
774,51
775,59
776,41
777,52
778,17
779,44
780,17
781,59
782,47
783,16
784,41
785,40
786,16
787,59
788,50
789,16
790,41
791,16
792,59
793,42
794,52
795,41
796,51
797,17
798,16
799,59
800,17
801,41
802,50
803,16
804,44
805,17
806,40
807,59
808,17
809,16
810,41
811,52
812,17
813,59
814,16
815,17
816,51
817,42
818,50
819,41
820,59
821,17
822,17
823,16
824,16
825,52
826,40
827,41
828,44
829,17
830,16
831,59
832,16
833,50
834,51
835,41
836,16
837,42
838,59
839,52
840,17
841,17
842,16
843,16
844,40
845,41
846,17
847,50
848,17
849,17
850,59
851,44
852,51
853,41
854,52
855,17
856,16
857,16
858,59
859,16
860,16
861,42
862,17
863,50
864,40
865,41
866,16
867,16
868,52
869,59
870,39
871,45
872,39
873,45
874,44
875,17
876,51
877,39
878,17
879,45
880,39
881,17
882,45
883,41
884,17
885,39
886,50
887,45
888,39
889,16
890,59
891,45
892,40
893,42
894,39
895,17
896,17
897,16
898,45
899,52
900,41
901,39
902,16
903,16
904,45
905,51
906,16
907,39
908,59
909,50
910,44
911,45
912,16
913,17
914,39
915,41
916,17
917,45
918,40
919,52
920,16
921,17
922,39
