#Idx,EeV,g,rIn,v,J,ECB,Group
3199,-7.386394e-01,2.450000e+01,1.819151e+00,28,24,7.453587e-01,16
3200,-7.372895e-01,1.355000e+02,2.084582e+00,9,135,1.531073e+00,12
3201,-7.358606e-01,1.245000e+02,2.027534e+00,12,124,1.384815e+00,13
3202,-7.345425e-01,1.125000e+02,1.978548e+00,15,112,1.243851e+00,13
3203,-7.336714e-01,1.425000e+02,2.129326e+00,7,142,1.628369e+00,12
3204,-7.332290e-01,1.615000e+02,2.339496e+00,1,161,1.938145e+00,11
3205,-7.328687e-01,1.585000e+02,2.287843e+00,2,158,1.885143e+00,11
3206,-7.326945e-01,2.550000e+01,1.819472e+00,28,25,7.402275e-01,16
3207,-7.325525e-01,4.950000e+01,1.839923e+00,26,49,7.888289e-01,15
3208,-7.310717e-01,3.950000e+01,1.829634e+00,27,39,7.573023e-01,16
3209,-7.309440e-01,1.645000e+02,2.417429e+00,0,164,1.989926e+00,11
3210,-7.301761e-01,6.550000e+01,1.861721e+00,24,65,8.601627e-01,15
3211,-7.299312e-01,1.555000e+02,2.247070e+00,3,155,1.830966e+00,11
3212,-7.289723e-01,9.450000e+01,1.922253e+00,19,94,1.062715e+00,14
3213,-7.281282e-01,1.285000e+02,2.045954e+00,11,128,1.427843e+00,13
3214,-7.271804e-01,8.950000e+01,1.909447e+00,20,89,1.019039e+00,14
3215,-7.265167e-01,2.650000e+01,1.819806e+00,28,26,7.349237e-01,16
3216,-7.262901e-01,1.085000e+02,1.964012e+00,16,108,1.193145e+00,13
3217,-7.261224e-01,7.850000e+01,1.884962e+00,22,78,9.359040e-01,15
3218,-7.247412e-01,9.950000e+01,1.935841e+00,18,99,1.103309e+00,14
3219,-7.246884e-01,5.850000e+01,1.851018e+00,25,58,8.191527e-01,15
3220,-7.244860e-01,1.525000e+02,2.212702e+00,4,152,1.775661e+00,12
3221,-7.241401e-01,7.250000e+01,1.873377e+00,23,72,8.948254e-01,15
3222,-7.214679e-01,4.050000e+01,1.830152e+00,27,40,7.496769e-01,16
3223,-7.204228e-01,5.050000e+01,1.840574e+00,26,50,7.805264e-01,15
3224,-7.201068e-01,2.750000e+01,1.820154e+00,28,27,7.294504e-01,16
3225,-7.195422e-01,8.450000e+01,1.897382e+00,21,84,9.723985e-01,14
3226,-7.178118e-01,1.395000e+02,2.107166e+00,8,139,1.568408e+00,12
3227,-7.166036e-01,1.495000e+02,2.182693e+00,5,149,1.719281e+00,12
3228,-7.161448e-01,1.325000e+02,2.065619e+00,10,132,1.468788e+00,12
3229,-7.143274e-01,1.045000e+02,1.950256e+00,17,104,1.140721e+00,14
3230,-7.138599e-01,6.650000e+01,1.862592e+00,24,66,8.493410e-01,15
3231,-7.134648e-01,2.850000e+01,1.820515e+00,28,28,7.238092e-01,16
3232,-7.116359e-01,4.150000e+01,1.830683e+00,27,41,7.419459e-01,16
3233,-7.102476e-01,5.950000e+01,1.851792e+00,25,59,8.094734e-01,15
3234,-7.080682e-01,5.150000e+01,1.841239e+00,26,51,7.721037e-01,15
3235,-7.077055e-01,1.175000e+02,1.995621e+00,14,117,1.272932e+00,13
3236,-7.069020e-01,1.215000e+02,2.012000e+00,13,121,1.319185e+00,13
3237,-7.065917e-01,2.950000e+01,1.820888e+00,28,29,7.180031e-01,16
3238,-7.063558e-01,1.465000e+02,2.155904e+00,6,146,1.661876e+00,12
3239,-7.062524e-01,7.950000e+01,1.886021e+00,22,79,9.229342e-01,15
3240,-7.059414e-01,7.350000e+01,1.874347e+00,23,73,8.828701e-01,15
3241,-7.045626e-01,1.135000e+02,1.980165e+00,15,113,1.224799e+00,13
3242,-7.045155e-01,5.000000e-01,1.811218e+00,29,0,7.045155e-01,16
