Id,Group
279,50
280,50
281,83
282,50
283,102
284,50
285,107
286,50
287,50
288,50
289,62
290,50
291,83
292,65
293,50
294,55
295,50
296,66
297,102
298,107
299,50
300,62
301,83
302,66
303,107
304,66
305,97
306,66
307,145
308,62
309,107
310,66
311,102
312,66
313,97
314,145
315,107
316,66
317,62
318,66
319,107
320,102
321,66
322,145
323,97
324,66
325,107
326,62
327,66
328,145
329,66
330,107
331,102
332,97
333,62
334,66
335,145
336,107
337,66
338,66
339,102
340,107
341,62
342,145
343,97
344,66
345,107
346,66
347,145
348,62
349,102
350,97
351,111
352,107
353,66
354,145
355,17
356,17
357,17
358,17
359,17
360,62
361,17
362,107
363,17
364,17
365,111
366,97
367,17
368,102
369,17
370,145
371,17
372,111
373,107
374,17
375,17
376,62
377,56
378,111
379,17
380,97
381,107
382,145
383,56
384,51
385,111
386,56
387,110
388,56
389,107
390,56
391,111
392,145
393,97
394,56
395,51
396,111
397,56
398,107
399,110
400,56
401,145
402,111
403,56
404,107
405,97
406,56
407,110
408,111
409,51
410,145
411,56
412,107
413,56
414,111
415,97
416,56
417,110
418,145
419,107
420,111
421,51
422,56
423,56
424,111
425,97
426,145
427,107
428,110
429,56
430,111
431,51
432,56
433,107
434,145
435,130
436,97
437,110
438,111
439,130
440,40
441,40
442,40
443,107
444,40
445,40
446,40
447,40
448,111
449,51
450,75
451,40
452,130
453,40
454,40
455,110
456,40
457,97
458,90
459,130
460,40
461,94
462,40
463,145
464,27
465,130
466,27
467,51
468,111
469,27
470,90
471,110
472,27
473,130
474,97
475,27
476,75
477,94
478,27
479,130
480,90
481,27
482,110
483,51
484,27
485,130
486,94
487,97
488,75
489,27
490,90
491,130
492,27
493,94
494,27
495,110
496,130
497,51
498,75
499,27
500,90
501,97
502,94
503,27
504,130
505,27
506,110
507,90
508,75
509,94
510,130
511,27
512,51
513,97
514,27
515,130
516,94
517,90
518,27
519,110
520,75
521,130
522,27
523,51
524,97
525,94
526,90
527,115
528,130
529,75
530,110
531,24
532,115
533,24
534,24
535,24
536,24
537,94
538,24
539,24
540,130
541,24
542,115
543,90
544,24
545,97
546,24
547,51
548,24
549,75
550,24
551,115
552,94
553,110
554,88
555,24
556,28
557,90
558,115
559,24
560,28
561,88
562,94
563,41
564,28
565,75
566,115
567,51
568,28
569,110
570,90
571,28
572,88
573,115
574,94
575,28
576,28
577,75
578,115
579,88
580,41
581,28
582,90
583,110
584,51
585,94
586,28
587,115
588,88
589,28
590,75
591,115
592,28
593,90
594,94
595,41
596,110
597,28
598,88
599,115
600,51
601,28
602,75
603,94
604,115
605,28
606,88
607,90
608,28
609,41
610,110
611,115
612,88
613,28
614,140
615,51
616,75
617,90
618,115
619,28
620,88
621,119
622,110
623,41
624,94
625,115
626,15
627,90
628,15
629,15
630,28
631,15
632,75
633,15
634,15
635,51
636,15
637,88
638,15
639,115
640,15
641,119
642,140
643,15
644,15
645,110
646,15
647,119
648,41
649,90
650,15
651,88
652,49
653,75
654,45
655,15
656,119
657,140
658,51
659,45
660,115
661,45
662,88
663,119
664,90
665,48
666,45
667,41
668,45
669,75
670,49
671,119
672,140
673,45
674,88
675,45
676,119
677,51
678,49
679,90
680,45
681,48
682,140
683,45
684,75
685,119
686,88
687,41
688,45
689,49
690,119
691,45
692,90
693,140
694,88
695,51
696,45
697,49
698,48
699,119
700,104
701,45
702,41
703,45
704,119
705,88
706,90
707,49
708,140
709,45
710,119
711,48
712,104
713,51
714,45
715,49
716,96
717,41
718,140
719,90
720,45
721,119
722,49
723,114
724,88
725,119
726,104
727,48
728,18
729,18
730,18
731,45
732,18
733,18
734,51
735,140
736,18
737,18
738,90
739,18
740,49
741,18
742,119
743,114
744,41
745,18
746,18
747,96
748,18
749,114
750,18
751,104
752,119
753,49
754,140
755,44
756,48
757,90
758,18
759,114
760,44
761,105
762,96
763,119
764,44
765,41
766,114
767,49
768,44
769,140
770,104
771,44
772,114
773,119
774,101
775,48
776,44
777,96
778,49
779,44
780,114
781,51
782,44
783,119
784,140
785,41
786,44
787,114
788,96
789,104
790,49
791,101
792,44
793,61
794,48
795,114
796,44
797,140
798,44
799,49
800,96
801,119
802,114
803,105
804,41
805,44
806,104
807,101
808,44
809,114
810,48
811,61
812,49
813,140
814,96
815,44
816,114
817,44
818,101
819,61
820,104
821,105
822,49
823,41
824,44
825,114
826,96
827,140
828,48
829,92
830,61
831,114
832,49
833,14
834,14
835,14
836,14
837,44
838,14
839,101
840,14
841,104
842,14
843,96
844,14
845,14
846,61
847,84
848,92
849,114
850,41
851,105
852,14
853,14
854,14
855,49
856,48
857,92
858,14
859,114
860,53
861,61
862,101
863,96
864,14
865,92
866,104
867,53
868,140
869,49
870,53
871,114
872,92
873,41
874,53
875,61
876,105
877,48
878,53
879,96
880,92
881,114
882,101
883,53
884,95
885,84
886,53
887,104
888,61
889,92
890,53
891,114
892,53
893,96
894,41
895,92
896,95
897,48
898,105
899,61
900,53
901,101
902,84
903,47
904,53
905,92
906,104
907,53
908,96
909,61
910,95
911,114
912,92
913,53
914,118
915,101
916,84
917,48
918,53
919,92
920,105
921,47
922,61
923,53
924,104
925,96
926,95
927,92
928,53
929,47
930,84
931,61
932,101
933,53
934,92
935,118
936,48
937,95
938,96
939,144
940,105
941,47
942,104
943,36
944,92
945,36
946,36
947,36
948,36
949,61
950,53
951,36
952,36
953,36
954,84
955,36
956,95
957,101
958,144
959,47
960,36
961,92
962,96
963,36
964,36
965,48
966,118
967,61
968,36
969,144
970,58
971,104
972,92
973,47
974,36
975,105
976,144
977,95
978,84
979,58
980,58
981,96
982,101
983,92
984,61
985,144
986,58
987,47
988,58
989,48
990,144
991,118
992,58
993,95
994,70
995,104
996,84
997,58
998,61
999,138
1000,47
1001,105
1002,144
1003,58
1004,101
1005,92
1006,58
1007,144
1008,95
1009,58
1010,61
1011,47
1012,48
1013,70
1014,12
1015,84
1016,58
1017,118
1018,138
1019,144
1020,58
1021,101
1022,47
1023,105
1024,95
1025,144
1026,70
1027,58
1028,52
1029,58
1030,144
1031,138
1032,84
1033,131
1034,12
1035,70
1036,58
1037,47
1038,118
1039,61
1040,95
1041,101
1042,144
1043,58
1044,70
1045,58
1046,105
1047,47
1048,144
1049,138
1050,84
1051,52
1052,11
1053,95
1054,12
1055,131
1056,70
1057,54
1058,54
1059,54
1060,54
1061,144
1062,54
1063,58
1064,101
1065,54
1066,47
1067,54
1068,118
1069,54
1070,54
1071,54
1072,11
1073,138
1074,144
1075,70
1076,52
1077,54
1078,84
1079,54
1080,95
1081,105
1082,54
1083,11
1084,47
1085,63
1086,12
1087,144
1088,63
1089,131
1090,70
1091,101
1092,11
1093,63
1094,52
1095,63
1096,138
1097,118
1098,144
1099,11
1100,95
1101,63
1102,47
1103,84
1104,70
1105,63
1106,11
1107,63
1108,144
1109,105
1110,52
1111,12
1112,63
1113,101
1114,131
1115,47
1116,138
1117,11
1118,70
1119,63
1120,95
1121,144
1122,63
1123,84
1124,118
1125,11
1126,63
1127,52
1128,70
1129,47
1130,103
1131,63
1132,11
1133,12
1134,138
1135,95
1136,12
1137,105
1138,63
1139,131
1140,11
1141,63
1142,70
1143,144
1144,84
1145,52
1146,47
1147,63
1148,118
1149,11
1150,7
1151,103
1152,63
1153,138
1154,70
1155,12
1156,12
1157,47
1158,11
1159,63
1160,52
1161,131
1162,105
1163,84
1164,103
1165,63
1166,11
1167,70
1168,95
1169,109
1170,118
1171,138
1172,93
1173,42
1174,42
1175,42
1176,103
1177,52
1178,42
1179,42
1180,11
1181,42
1182,109
1183,12
1184,42
1185,12
1186,42
1187,70
1188,42
1189,84
1190,42
1191,109
1192,131
1193,42
1194,11
1195,103
1196,42
1197,105
1198,47
1199,7
1200,42
1201,109
1202,138
1203,52
1204,82
1205,70
1206,82
1207,11
1208,118
1209,103
1210,109
1211,82
1212,12
1213,82
1214,12
1215,137
1216,93
1217,82
1218,11
1219,109
1220,7
1221,70
1222,52
1223,82
1224,131
1225,103
1226,138
1227,82
1228,109
1229,105
1230,85
1231,82
1232,93
1233,109
1234,82
1235,12
1236,70
1237,118
1238,103
1239,137
1240,7
1241,12
1242,52
1243,82
1244,11
1245,109
1246,82
1247,138
1248,131
1249,93
1250,103
1251,82
1252,70
1253,85
1254,109
1255,82
1256,105
1257,52
1258,7
1259,12
1260,137
1261,109
1262,82
1263,85
1264,103
1265,118
1266,12
1267,93
1268,70
1269,138
1270,82
1271,109
1272,82
1273,85
1274,131
1275,52
1276,103
1277,7
1278,98
1279,109
1280,70
1281,137
1282,93
1283,12
1284,9
1285,98
1286,85
1287,138
1288,12
1289,109
1290,103
1291,118
1292,98
1293,52
1294,23
1295,23
1296,23
1297,23
1298,35
1299,23
1300,85
1301,7
1302,23
1303,109
1304,98
1305,23
1306,93
1307,131
1308,23
1309,23
1310,103
1311,23
1312,137
1313,98
1314,12
1315,23
1316,109
1317,138
1318,23
1319,85
1320,23
1321,35
1322,9
1323,98
1324,52
1325,12
1326,23
1327,93
1328,23
1329,7
1330,118
1331,103
1332,67
1333,71
1334,98
1335,85
1336,71
1337,131
1338,71
1339,137
1340,35
1341,98
1342,109
1343,7
1344,137
1345,71
1346,52
1347,103
1348,93
1349,85
1350,71
1351,98
1352,7
1353,12
1354,67
1355,71
1356,9
1357,71
1358,35
1359,98
1360,118
1361,103
1362,85
1363,71
1364,67
1365,137
1366,52
1367,138
1368,93
1369,98
1370,131
1371,71
1372,137
1373,7
1374,71
1375,85
1376,35
1377,67
1378,98
1379,103
1380,71
1381,12
1382,71
1383,9
1384,93
1385,98
1386,52
1387,67
1388,118
1389,85
1390,137
1391,7
1392,71
1393,103
1394,35
1395,137
1396,98
1397,7
1398,131
1399,71
1400,67
1401,85
1402,71
1403,93
1404,98
1405,12
1406,133
1407,103
1408,35
1409,71
1410,67
1411,7
1412,137
1413,98
1414,9
1415,85
1416,7
1417,71
1418,9
1419,43
1420,43
1421,43
1422,137
1423,43
1424,43
1425,43
1426,93
1427,131
1428,67
1429,43
1430,37
1431,71
1432,98
1433,43
1434,133
1435,43
1436,35
1437,43
1438,85
1439,43
1440,122
1441,12
1442,43
1443,98
1444,137
1445,67
1446,43
1447,137
1448,122
1449,7
1450,147
1451,37
1452,147
1453,93
1454,10
1455,147
1456,9
1457,35
1458,85
1459,137
1460,122
1461,9
1462,133
1463,67
1464,147
1465,131
1466,147
1467,122
1468,10
1469,37
