Id,v,longitude,latitude,rin,eevvib,eevrot,deltaeintdiss,bin
5652,-29,108,-8.723293,1.701779,6.911275,1.970085,-1.268306,34
5653,-18,149,-8.717204,1.819765,4.654818,4.22715,-1.80128,32
5654,-24,128,-8.715459,1.750439,5.944884,2.937259,-1.493022,34
5655,-42,11,-8.704483,1.606754,8.865811,0.01743,-0.871183,35
5656,-41,31,-8.701932,1.612626,8.7493,0.134196,-0.883559,35
5657,-2,196,-8.67706,2.145995,0.574194,8.311789,-2.797083,4
5658,-36,73,-8.674937,1.645508,8.075809,0.810387,-1.006565,35
5659,-42,12,-8.672842,1.606864,8.865811,0.020594,-0.868222,35
5660,-39,52,-8.66442,1.625163,8.497481,0.389766,-0.921955,35
5661,-40,43,-8.65435,1.61888,8.626453,0.261801,-0.898438,35
5662,-35,79,-8.644339,1.652902,7.924287,0.964968,-1.036365,35
5663,-42,13,-8.638582,1.606983,8.865811,0.02402,-0.865032,35
5664,-21,139,-8.633985,1.78371,5.316917,3.573374,-1.636623,32
5665,-38,60,-8.628034,1.631844,8.362588,0.528298,-0.944708,35
5666,-5,188,-8.626051,2.048841,1.408831,7.482253,-2.588103,4
5667,-12,168,-8.621454,1.906284,3.231849,5.659695,-2.140507,32
5668,-41,32,-8.616219,1.612925,8.7493,0.142767,-0.876219,35
5669,-13,165,-8.612528,1.890383,3.478019,5.414417,-2.079821,32
5670,-37,67,-8.611169,1.638696,8.221968,0.670604,-0.9715,35
5671,-11,171,-8.604535,1.923077,2.982104,5.911132,-2.200449,22
5672,-42,14,-8.601706,1.607112,8.865811,0.027707,-0.861616,35
5673,-30,104,-8.600321,1.693354,7.091781,1.801876,-1.218216,34
5674,-23,132,-8.579927,1.761572,5.739436,3.156261,-1.532273,34
5675,-14,162,-8.578413,1.875284,3.720604,5.175244,-2.018426,32
5676,-42,15,-8.562219,1.60725,8.865811,0.031656,-0.857976,35
5677,-10,174,-8.561143,1.940873,2.72879,6.168785,-2.259614,4
5678,-33,90,-8.556818,1.668545,7.605817,1.29219,-1.099365,35
5679,-19,146,-8.55372,1.807815,4.879239,4.019078,-1.736134,32
5680,-40,44,-8.534747,1.619299,8.626453,0.273762,-0.888628,35
5681,-32,95,-8.532262,1.676688,7.439177,1.461286,-1.134714,33
5682,-41,33,-8.52794,1.613234,8.7493,0.151595,-0.868691,35
5683,-42,16,-8.520127,1.607397,8.865811,0.035865,-0.854115,35
5684,-15,159,-8.519795,1.860912,3.959593,4.942117,-1.956363,32
5685,-39,53,-8.518164,1.625677,8.497481,0.404392,-0.910286,35
5686,-34,85,-8.515579,1.660896,7.76757,1.134561,-1.060725,35
5687,-9,177,-8.490677,1.959811,2.471913,6.432708,-2.317971,22
5688,-27,117,-8.476404,1.721223,6.537208,2.36884,-1.337367,34
5689,-42,17,-8.475433,1.607553,8.865811,0.040335,-0.850035,35
5690,-36,74,-8.462001,1.646261,8.075809,0.83168,-0.990453,35
5691,-26,121,-8.459911,1.730999,6.343844,2.563854,-1.381388,34
5692,-38,61,-8.457336,1.632445,8.362588,0.545368,-0.93139,35
5693,-28,113,-8.45033,1.71189,6.726384,2.182272,-1.291577,34
5694,-31,100,-8.439489,1.685338,7.267788,1.641952,-1.166644,34
5695,-16,156,-8.437387,1.847205,4.194971,4.714979,-1.893675,32
5696,-41,34,-8.437105,1.613553,8.7493,0.160679,-0.860979,35
5697,-42,18,-8.428145,1.607719,8.865811,0.045064,-0.84574,35
5698,-4,191,-8.426462,2.077631,1.134173,7.77687,-2.642849,22
5699,-37,68,-8.418253,1.639378,8.221968,0.689896,-0.956709,35
5700,-40,45,-8.412631,1.619729,8.626453,0.285973,-0.878651,35
5701,-35,80,-8.411227,1.653728,7.924287,0.988279,-1.018951,35
5702,-1,199,-8.400216,2.194228,0.288872,8.624795,-2.849765,22
5703,-25,125,-8.399526,1.741232,6.146377,2.76736,-1.423564,34
5704,-22,136,-8.397034,1.773208,5.530095,3.383891,-1.56949,34
5705,-8,180,-8.392562,1.980066,2.211477,6.702956,-2.375496,4
5706,-29,109,-8.383124,1.702989,6.911275,2.004101,-1.244104,34
5707,-42,19,-8.378266,1.607894,8.865811,0.050051,-0.841231,35
5708,-20,143,-8.369617,1.796359,5.09995,3.816777,-1.670564,32
5709,-39,54,-8.369441,1.626201,8.497481,0.419264,-0.898467,35
5710,-41,35,-8.343725,1.613882,8.7493,0.170017,-0.853083,35
5711,-17,153,-8.331934,1.83411,4.42672,4.493775,-1.830409,32
5712,-42,20,-8.325805,1.608079,8.865811,0.055298,-0.836512,35
5713,-24,129,-8.294015,1.751936,5.944884,2.979404,-1.463828,34
5714,-40,46,-8.288018,1.620169,8.626453,0.298434,-0.868511,35
5715,-33,91,-8.285344,1.669512,7.605817,1.319337,-1.079511,35
5716,-38,62,-8.28422,1.633059,8.362588,0.562679,-0.917933,35
5717,-30,105,-8.276329,1.694509,7.091781,1.834276,-1.195047,34
5718,-42,21,-8.270766,1.608273,8.865811,0.060801,-0.831584,35
5719,-7,183,-8.266251,2.001868,1.947483,6.979581,-2.432166,22
5720,-34,86,-8.262195,1.661799,7.76757,1.159899,-1.042032,35
5721,-41,36,-8.247813,1.614221,8.7493,0.179608,-0.845008,35
5722,-36,75,-8.246724,1.647027,8.075809,0.853208,-0.974224,35
5723,-32,96,-8.242613,1.677721,7.439177,1.490251,-1.113715,33
5724,-37,69,-8.222962,1.640072,8.221968,0.709425,-0.941792,35
5725,-39,55,-8.218269,1.626737,8.497481,0.434381,-0.886499,35
5726,-42,22,-8.213159,1.608477,8.865811,0.066562,-0.82645,35
5727,-18,150,-8.204209,1.821583,4.654818,4.27845,-1.766615,32
5728,-3,194,-8.196741,2.110377,0.855961,8.078054,-2.696673,4
5729,-35,81,-8.175815,1.654568,7.924287,1.011821,-1.001429,35
5730,-21,140,-8.165775,1.785371,5.316917,3.620195,-1.604631,32
5731,-40,47,-8.160924,1.62062,8.626453,0.311144,-0.85821,35
5732,-42,23,-8.152988,1.60869,8.865811,0.072579,-0.821114,35
5733,-41,37,-8.149379,1.614569,8.7493,0.189451,-0.836755,35
5734,-23,133,-8.142233,1.763128,5.739436,3.20003,-1.502125,34
5735,-31,101,-8.131616,1.68644,7.267788,1.672739,-1.144516,34
5736,-6,186,-8.111221,2.025527,1.679934,7.262633,-2.487961,4
5737,-38,63,-8.108705,1.633684,8.362588,0.580231,-0.904342,35
5738,-27,118,-8.1017,1.722561,6.537208,2.406311,-1.311079,34
5739,0,202,-8.092031,2.266099,0,8.944486,-2.901508,4
5740,-28,114,-8.091853,1.713172,6.726384,2.21812,-1.266295,34
5741,-42,24,-8.090262,1.608913,8.865811,0.078852,-0.815576,35
5742,-26,122,-8.068967,1.732395,6.343844,2.602948,-1.354107,34
5743,-39,56,-8.064666,1.627284,8.497481,0.449741,-0.874386,35
5744,-19,147,-8.055021,1.809585,4.879239,4.068948,-1.702347,32
5745,-41,38,-8.048437,1.614928,8.7493,0.199546,-0.828328,35
5746,-29,110,-8.040847,1.704215,6.911275,2.038329,-1.219839,34
5747,-40,48,-8.031363,1.621081,8.626453,0.3241,-0.847751,35
5748,-36,76,-8.029129,1.647805,8.075809,0.874967,-0.95788,35
5749,-13,166,-8.026238,1.892479,3.478019,5.473046,-2.040921,32
5750,-37,70,-8.025319,1.640778,8.221968,0.729189,-0.926751,35
5751,-42,25,-8.02499,1.609145,8.865811,0.085379,-0.80984,35
5752,-12,169,-8.020874,1.908438,3.231849,5.719753,-2.100788,32
5753,-33,92,-8.011652,1.670494,7.605817,1.346706,-1.059569,35
5754,-34,87,-8.006563,1.662716,7.76757,1.185462,-1.023242,35
5755,-14,163,-8.006413,1.877324,3.720604,5.232444,-1.980355,32
5756,-25,126,-7.99234,1.742686,6.146377,2.808078,-1.395303,34
5757,-11,172,-7.989665,1.925292,2.982104,5.972619,-2.159921,32
5758,-15,160,-7.962084,1.862899,3.959593,4.997888,-1.91913,32
5759,-42,26,-7.957179,1.609387,8.865811,0.09216,-0.803908,35
5760,-32,97,-7.950784,1.67877,7.439177,1.519434,-1.092635,35
5761,-30,106,-7.950212,1.69568,7.091781,1.866887,-1.17181,34
5762,-41,39,-7.944999,1.615298,8.7493,0.20989,-0.819728,35
5763,-22,137,-7.943115,1.774825,5.530095,3.429283,-1.538404,34
5764,-35,82,-7.93813,1.655421,7.924287,1.035589,-0.983803,35
5765,-2,197,-7.936464,2.148924,0.574194,8.385849,-2.749571,22
5766,-10,175,-7.931981,1.943152,2.72879,6.231701,-2.218286,22
5767,-38,64,-7.930813,1.634321,8.362588,0.59802,-0.890619,35
