#Idx,EeV,g,rIn,v,J,ECB,Group
1011,-6.482874e+00,1.350000e+03,2.011904e+00,1,112,6.919018e+00,4
1012,-6.481390e+00,7.050000e+02,2.075121e+00,0,117,6.970866e+00,6
1013,-6.481064e+00,8.100000e+01,1.748063e+00,12,13,6.482240e+00,3
1014,-6.480320e+00,5.010000e+02,1.857188e+00,6,83,6.677400e+00,5
1015,-6.478499e+00,2.970000e+02,1.780263e+00,10,49,6.525026e+00,3
1016,-6.477037e+00,9.180000e+02,1.835951e+00,7,76,6.632637e+00,5
1017,-6.476096e+00,4.380000e+02,1.763844e+00,11,36,6.496025e+00,3
1018,-6.474909e+00,1.740000e+02,1.748204e+00,12,14,6.476358e+00,3
1019,-6.473381e+00,6.450000e+02,1.969550e+00,2,107,6.859961e+00,4
1020,-6.468316e+00,9.300000e+01,1.748355e+00,12,15,6.470076e+00,3
1021,-6.465429e+00,1.158000e+03,1.906529e+00,4,96,6.755601e+00,5
1022,-6.461973e+00,1.086000e+03,1.880880e+00,5,90,6.706493e+00,5
1023,-6.461286e+00,1.980000e+02,1.748515e+00,12,16,6.463395e+00,3
1024,-6.460848e+00,7.260000e+02,1.798080e+00,9,60,6.542495e+00,5
1025,-6.459788e+00,2.250000e+02,1.764220e+00,11,37,6.481263e+00,3
1026,-6.456399e+00,6.060000e+02,1.780776e+00,10,50,6.505613e+00,3
1027,-6.453817e+00,1.050000e+02,1.748686e+00,12,17,6.456319e+00,3
1028,-6.453003e+00,1.230000e+03,1.935961e+00,3,102,6.793661e+00,4
1029,-6.452313e+00,4.170000e+02,1.816770e+00,8,69,6.572098e+00,5
1030,-6.445911e+00,2.220000e+02,1.748867e+00,12,18,6.448849e+00,3
1031,-6.443048e+00,4.620000e+02,1.764606e+00,11,38,6.466145e+00,3
1032,-6.442772e+00,1.014000e+03,1.858096e+00,6,84,6.646257e+00,5
1033,-6.442717e+00,4.650000e+02,1.836772e+00,7,77,6.603889e+00,5
1034,-6.437568e+00,1.170000e+02,1.749058e+00,12,19,6.440988e+00,3
1035,-6.433871e+00,3.090000e+02,1.781300e+00,10,51,6.485872e+00,3
1036,-6.433823e+00,3.690000e+02,1.798714e+00,9,61,6.519281e+00,5
1037,-6.431668e+00,6.810000e+02,2.013259e+00,1,113,6.878172e+00,4
1038,-6.428787e+00,2.460000e+02,1.749259e+00,12,20,6.432736e+00,3
1039,-6.427777e+00,1.422000e+03,2.076595e+00,0,118,6.928384e+00,6
1040,-6.425876e+00,2.370000e+02,1.765002e+00,11,39,6.450672e+00,3
1041,-6.424583e+00,1.302000e+03,1.970809e+00,2,108,6.820781e+00,4
1042,-6.421848e+00,5.850000e+02,1.907614e+00,4,97,6.720093e+00,5
1043,-6.421221e+00,8.460000e+02,1.817508e+00,8,70,6.545787e+00,5
1044,-6.421204e+00,5.490000e+02,1.881880e+00,5,91,6.673007e+00,5
1045,-6.419571e+00,1.290000e+02,1.749470e+00,12,21,6.424097e+00,3
1046,-6.410917e+00,6.300000e+02,1.781835e+00,10,52,6.465804e+00,3
1047,-6.409918e+00,2.700000e+02,1.749692e+00,12,22,6.415071e+00,3
1048,-6.408273e+00,4.860000e+02,1.765409e+00,11,40,6.434848e+00,3
1049,-6.407985e+00,9.420000e+02,1.837605e+00,7,78,6.574846e+00,5
1050,-6.406616e+00,6.210000e+02,1.937136e+00,3,103,6.756174e+00,4
1051,-6.406377e+00,7.500000e+02,1.799359e+00,9,62,6.495752e+00,5
1052,-6.404818e+00,5.130000e+02,1.859017e+00,6,85,6.614830e+00,5
1053,-6.399829e+00,1.410000e+02,1.749923e+00,12,23,6.405661e+00,3
1054,-6.390240e+00,2.490000e+02,1.765826e+00,11,41,6.418676e+00,3
1055,-6.389715e+00,4.290000e+02,1.818256e+00,8,71,6.519171e+00,5
1056,-6.389305e+00,2.940000e+02,1.750165e+00,12,24,6.395867e+00,3
1057,-6.387537e+00,3.210000e+02,1.782380e+00,10,53,6.445412e+00,3
1058,-6.380080e+00,1.374000e+03,2.014628e+00,1,114,6.837096e+00,4
1059,-6.380036e+00,1.110000e+03,1.882893e+00,5,92,6.639250e+00,5
1060,-6.378512e+00,3.810000e+02,1.800015e+00,9,63,6.471908e+00,5
1061,-6.378347e+00,1.530000e+02,1.750417e+00,12,25,6.385693e+00,3
1062,-6.377873e+00,1.182000e+03,1.908712e+00,4,98,6.684326e+00,5
1063,-6.375400e+00,6.570000e+02,1.972082e+00,2,109,6.781361e+00,4
1064,-6.373789e+00,7.170000e+02,2.078083e+00,0,119,6.885683e+00,6
1065,-6.372843e+00,4.770000e+02,1.838449e+00,7,79,6.545510e+00,5
1066,-6.371776e+00,5.100000e+02,1.766253e+00,11,42,6.402157e+00,3
1067,-6.366953e+00,3.180000e+02,1.750679e+00,12,26,6.375139e+00,3
1068,-6.366458e+00,1.038000e+03,1.859950e+00,6,86,6.583121e+00,5
1069,-6.363733e+00,6.540000e+02,1.782936e+00,10,54,6.424696e+00,3
1070,-6.359840e+00,1.254000e+03,1.938325e+00,3,104,6.718438e+00,4
1071,-6.357794e+00,8.700000e+02,1.819016e+00,8,72,6.492252e+00,5
1072,-6.355126e+00,1.650000e+02,1.750951e+00,12,27,6.364207e+00,3
1073,-6.352884e+00,2.610000e+02,1.766691e+00,11,43,6.385297e+00,3
1074,-6.350227e+00,7.740000e+02,1.800682e+00,9,64,6.447752e+00,5
1075,-6.342865e+00,3.420000e+02,1.751233e+00,12,28,6.352900e+00,3
1076,-6.339505e+00,3.330000e+02,1.783503e+00,10,55,6.403658e+00,3
1077,-6.338468e+00,5.610000e+02,1.883918e+00,5,93,6.605224e+00,5
1078,-6.337293e+00,9.660000e+02,1.839305e+00,7,80,6.515884e+00,5
1079,-6.333563e+00,5.340000e+02,1.767140e+00,11,44,6.368096e+00,3
1080,-6.333503e+00,5.970000e+02,1.909823e+00,4,99,6.648300e+00,5
1081,-6.330170e+00,1.770000e+02,1.751526e+00,12,29,6.341219e+00,3
1082,-6.328112e+00,6.930000e+02,2.016011e+00,1,115,6.795795e+00,4
1083,-6.327696e+00,5.250000e+02,1.860894e+00,6,87,6.551134e+00,5
1084,-6.325833e+00,1.326000e+03,1.973369e+00,2,110,6.741706e+00,4
1085,-6.325460e+00,4.410000e+02,1.819786e+00,8,73,6.465033e+00,5
