id,v,Longitude,Latitude,rIn,EeVVib,EeVRot,DeltaEintDiss,OriginalLevel
97,1,-3.500000e+01,-4.698000e+01,2.139606e+00,1.940088e-01,2.210373e-01,-4.717318e+00,97
98,0,-4.800000e+01,-4.697282e+01,2.207668e+00,0.000000e+00,4.157641e-01,-4.749837e+00,98
99,2,-1.300000e+01,-4.696548e+01,2.094020e+00,3.848158e-01,3.168265e-02,-4.697762e+00,99
100,2,-1.400000e+01,-4.691677e+01,2.094209e+00,3.848158e-01,3.655341e-02,-4.693169e+00,100
101,2,-1.500000e+01,-4.686460e+01,2.094411e+00,3.848158e-01,4.177100e-02,-4.688267e+00,101
102,1,-3.600000e+01,-4.685427e+01,2.140107e+00,1.940088e-01,2.336109e-01,-4.706336e+00,102
103,2,-1.600000e+01,-4.680895e+01,2.094626e+00,3.848158e-01,4.733527e-02,-4.683059e+00,103
104,0,-4.900000e+01,-4.680101e+01,2.208381e+00,0.000000e+00,4.329451e-01,-4.736378e+00,104
105,2,-1.700000e+01,-4.674985e+01,2.094855e+00,3.848158e-01,5.324596e-02,-4.677547e+00,105
106,1,-3.700000e+01,-4.672510e+01,2.140621e+00,1.940088e-01,2.465273e-01,-4.695099e+00,106
107,2,-1.800000e+01,-4.668728e+01,2.095098e+00,3.848158e-01,5.950284e-02,-4.671733e+00,107
108,0,-5.000000e+01,-4.662581e+01,2.209110e+00,0.000000e+00,4.504651e-01,-4.722685e+00,108
109,2,-1.900000e+01,-4.662125e+01,2.095355e+00,3.848158e-01,6.610563e-02,-4.665620e+00,109
110,1,-3.800000e+01,-4.659252e+01,2.141150e+00,1.940088e-01,2.597860e-01,-4.683612e+00,110
111,2,-2.000000e+01,-4.655176e+01,2.095625e+00,3.848158e-01,7.305408e-02,-4.659211e+00,111
112,2,-2.100000e+01,-4.647883e+01,2.095908e+00,3.848158e-01,8.034790e-02,-4.652507e+00,112
113,1,-3.900000e+01,-4.645651e+01,2.141693e+00,1.940088e-01,2.733865e-01,-4.671882e+00,113
114,0,-5.100000e+01,-4.644723e+01,2.209854e+00,0.000000e+00,4.683233e-01,-4.708759e+00,114
115,2,-2.200000e+01,-4.640244e+01,2.096205e+00,3.848158e-01,8.798679e-02,-4.645511e+00,115
116,2,-2.300000e+01,-4.632260e+01,2.096516e+00,3.848158e-01,9.597039e-02,-4.638225e+00,116
117,1,-4.000000e+01,-4.631709e+01,2.142251e+00,1.940088e-01,2.873282e-01,-4.659918e+00,117
118,0,-5.200000e+01,-4.626527e+01,2.210613e+00,0.000000e+00,4.865189e-01,-4.694599e+00,118
119,2,-2.400000e+01,-4.623932e+01,2.096840e+00,3.848158e-01,1.042984e-01,-4.630651e+00,119
120,1,-4.100000e+01,-4.617427e+01,2.142823e+00,1.940088e-01,3.016105e-01,-4.647737e+00,120
121,2,-2.500000e+01,-4.615260e+01,2.097179e+00,3.848158e-01,1.129706e-01,-4.622793e+00,121
122,0,-5.300000e+01,-4.607995e+01,2.211388e+00,0.000000e+00,5.050511e-01,-4.680207e+00,122
123,2,-2.600000e+01,-4.606244e+01,2.097530e+00,3.848158e-01,1.219864e-01,-4.614651e+00,123
124,1,-4.200000e+01,-4.602805e+01,2.143409e+00,1.940088e-01,3.162329e-01,-4.635372e+00,124
125,2,-2.700000e+01,-4.596885e+01,2.097896e+00,3.848158e-01,1.313456e-01,-4.606229e+00,125
126,0,-5.400000e+01,-4.589127e+01,2.212178e+00,0.000000e+00,5.239194e-01,-4.665582e+00,126
127,1,-4.300000e+01,-4.587843e+01,2.144010e+00,1.940088e-01,3.311947e-01,-4.623445e+00,127
128,2,-2.800000e+01,-4.587183e+01,2.098275e+00,3.848158e-01,1.410477e-01,-4.597527e+00,128
129,2,-2.900000e+01,-4.577138e+01,2.098668e+00,3.848158e-01,1.510924e-01,-4.588550e+00,129
130,1,-4.400000e+01,-4.572542e+01,2.144625e+00,1.940088e-01,3.464953e-01,-4.611301e+00,130
131,0,-5.500000e+01,-4.569924e+01,2.212983e+00,0.000000e+00,5.431228e-01,-4.650726e+00,131
132,2,-3.000000e+01,-4.566751e+01,2.099075e+00,3.848158e-01,1.614792e-01,-4.579298e+00,132
133,1,-4.500000e+01,-4.556904e+01,2.145255e+00,1.940088e-01,3.621341e-01,-4.598942e+00,133
134,2,-3.100000e+01,-4.556023e+01,2.099496e+00,3.848158e-01,1.722077e-01,-4.569774e+00,134
135,0,-5.600000e+01,-4.550386e+01,2.213805e+00,0.000000e+00,5.626606e-01,-4.635638e+00,135
