id,v,Longitude,Latitude,rIn,EeVVib,EeVRot,DeltaEintDiss,Bin
8901,-1,2.340000e+02,1.865040e+01,2.324279e+00,2.888725e-01,1.132986e+01,-1.256783e+00,111
8902,-18,2.000000e+02,1.865617e+01,1.942886e+00,4.654818e+00,6.964488e+00,-1.714013e-01,117
8903,-2,2.320000e+02,1.865787e+01,2.273701e+00,5.741937e-01,1.104528e+01,-1.183045e+00,111
8904,-3,2.300000e+02,1.866926e+01,2.233836e+00,8.559607e-01,1.076465e+01,-1.110156e+00,111
8905,-4,2.280000e+02,1.868389e+01,2.200244e+00,1.134173e+00,1.048790e+01,-1.038163e+00,111
8906,-5,2.260000e+02,1.870100e+01,2.170901e+00,1.408831e+00,1.021496e+01,-9.671202e-01,111
8907,-17,2.020000e+02,1.871638e+01,1.955028e+00,4.426720e+00,7.198606e+00,-2.206672e-01,117
8908,-6,2.240000e+02,1.871976e+01,2.144684e+00,1.679934e+00,9.945731e+00,-8.970916e-01,111
8909,-7,2.220000e+02,1.873928e+01,2.120892e+00,1.947483e+00,9.680133e+00,-8.281477e-01,111
8910,-8,2.200000e+02,1.875858e+01,2.099057e+00,2.211477e+00,9.418070e+00,-7.603670e-01,114
8911,-16,2.040000e+02,1.875940e+01,1.967773e+00,4.194971e+00,7.434658e+00,-2.726453e-01,117
8912,-21,1.950000e+02,1.876037e+01,1.913237e+00,5.316917e+00,6.312809e+00,-2.703228e-02,129
8913,-9,2.180000e+02,1.877663e+01,2.078844e+00,2.471913e+00,9.159439e+00,-6.938366e-01,114
8914,-15,2.060000e+02,1.878818e+01,1.981162e+00,3.959593e+00,7.672914e+00,-3.270545e-01,114
8915,-10,2.160000e+02,1.879229e+01,2.060008e+00,2.728790e+00,8.904128e+00,-6.286524e-01,114
8916,-11,2.140000e+02,1.880437e+01,2.042363e+00,2.982104e+00,8.652022e+00,-5.649196e-01,114
8917,-14,2.080000e+02,1.880513e+01,1.995246e+00,3.720604e+00,7.913598e+00,-3.836664e-01,114
