R1,R2,R3,R4,R5,R6
2.452865e+00,4.350456e+00,7.530375e+00,6.025664e+00,9.744090e+00,8.503767e+00
2.452865e+00,4.590013e+00,7.940157e+00,6.106682e+00,1.012154e+01,9.448632e+00
2.452865e+00,4.863779e+00,8.356554e+00,6.222611e+00,1.050668e+01,1.039349e+01
2.452865e+00,5.166319e+00,8.778627e+00,6.371544e+00,1.089869e+01,1.133836e+01
2.452865e+00,5.839438e+00,9.636807e+00,6.759226e+00,1.170055e+01,1.322808e+01
2.452865e+00,6.579722e+00,1.050987e+01,7.250050e+00,1.252237e+01,1.511781e+01
2.452865e+00,7.366951e+00,1.139439e+01,7.824630e+00,1.336047e+01,1.700753e+01
2.452865e+00,8.187597e+00,1.228790e+01,8.465931e+00,1.421197e+01,1.889726e+01
2.452865e+00,5.052253e+00,5.802598e+00,7.491185e+00,8.244449e+00,1.511780e+00
2.452865e+00,5.016769e+00,5.859264e+00,7.451766e+00,8.298405e+00,1.700752e+00
2.452865e+00,4.982825e+00,5.916896e+00,7.413341e+00,8.353081e+00,1.889727e+00
2.452865e+00,4.950452e+00,5.975466e+00,7.375926e+00,8.408464e+00,2.078699e+00
2.452865e+00,4.919680e+00,6.034946e+00,7.339537e+00,8.464539e+00,2.267671e+00
2.452865e+00,4.890541e+00,6.095312e+00,7.304189e+00,8.521293e+00,2.456646e+00
2.452865e+00,4.863063e+00,6.156536e+00,7.269897e+00,8.578712e+00,2.645617e+00
2.452865e+00,4.837275e+00,6.218592e+00,7.236677e+00,8.636783e+00,2.834589e+00
2.452865e+00,4.813203e+00,6.281457e+00,7.204542e+00,8.695492e+00,3.023561e+00
2.452865e+00,4.790876e+00,6.345106e+00,7.173509e+00,8.754828e+00,3.212536e+00
2.452865e+00,4.770315e+00,6.409516e+00,7.143590e+00,8.814778e+00,3.401507e+00
2.452865e+00,4.734584e+00,6.540528e+00,7.087153e+00,8.936467e+00,3.779451e+00
2.452865e+00,4.706177e+00,6.674319e+00,7.035342e+00,9.060464e+00,4.157398e+00
2.452865e+00,4.685225e+00,6.810726e+00,6.988257e+00,9.186674e+00,4.535341e+00
2.452865e+00,4.671830e+00,6.949595e+00,6.945997e+00,9.315008e+00,4.913288e+00
2.452865e+00,4.666056e+00,7.090781e+00,6.908649e+00,9.445380e+00,5.291235e+00
2.452865e+00,4.667930e+00,7.234147e+00,6.876293e+00,9.577706e+00,5.669178e+00
2.452865e+00,4.705930e+00,7.601293e+00,6.817683e+00,9.916553e+00,6.614040e+00
2.452865e+00,4.790447e+00,7.979524e+00,6.791509e+00,1.026596e+01,7.558905e+00
2.452865e+00,4.919081e+00,8.367337e+00,6.798144e+00,1.062489e+01,8.503767e+00
