Id,Group
599,59
600,84
601,48
602,15
603,111
604,59
605,48
606,65
607,83
608,48
609,55
610,107
611,59
612,65
613,26
614,111
615,84
616,15
617,83
618,59
619,48
620,65
621,26
622,107
623,55
624,111
625,59
626,122
627,83
628,122
629,122
630,26
631,122
632,15
633,122
634,122
635,84
636,122
637,65
638,122
639,59
640,122
641,26
642,64
643,122
644,122
645,107
646,122
647,26
648,55
649,83
650,122
651,65
652,59
653,15
654,142
655,122
656,26
657,111
658,84
659,142
660,59
661,142
662,65
663,26
664,83
665,107
666,142
667,55
668,142
669,101
670,148
671,26
672,64
673,142
674,65
675,142
676,26
677,84
678,59
679,83
680,142
681,107
682,64
683,142
684,15
685,26
686,65
687,55
688,142
689,148
690,26
691,142
692,83
693,64
694,65
695,84
696,142
697,148
698,107
699,26
700,101
701,142
702,55
703,142
704,26
705,65
706,83
707,148
708,64
709,142
710,26
711,107
712,101
713,84
714,142
715,148
716,65
717,55
718,64
719,83
720,142
721,26
722,148
723,68
724,65
725,26
726,101
727,107
728,12
729,12
730,12
731,142
732,12
733,12
734,84
735,64
736,12
737,12
738,83
739,12
740,148
741,12
742,26
743,68
744,55
745,12
746,12
747,65
748,12
749,68
750,12
751,101
752,86
753,148
754,64
755,12
756,107
757,83
758,12
759,68
760,10
761,84
762,65
763,26
764,12
765,55
766,68
767,148
768,10
769,64
770,101
771,10
772,68
773,86
774,83
775,107
776,10
777,89
778,148
779,10
780,68
781,84
782,10
783,86
784,64
785,55
786,10
787,68
788,89
789,101
790,148
791,83
792,10
793,86
794,107
795,68
796,10
797,64
798,10
799,148
800,89
801,86
802,68
803,84
804,55
805,10
806,101
807,83
808,10
809,68
810,107
811,86
812,148
813,64
814,89
815,10
816,68
817,10
818,83
819,86
820,101
821,84
822,148
823,55
824,10
825,68
826,89
827,64
828,107
829,10
830,86
831,68
832,148
833,44
834,44
835,44
836,44
837,10
838,44
839,83
840,44
841,101
842,44
843,89
844,44
845,44
846,86
847,64
848,10
849,68
850,55
851,84
852,44
853,44
854,44
855,148
856,107
857,10
858,44
859,79
860,44
861,86
862,83
863,89
864,44
865,49
866,101
867,37
868,64
869,148
870,44
871,68
872,49
873,55
874,37
875,86
876,84
877,107
878,37
879,89
880,49
881,79
882,83
883,37
884,136
885,126
886,37
887,101
888,86
889,49
890,37
891,79
892,37
893,89
894,55
895,49
896,148
897,107
898,84
899,86
900,37
901,83
902,126
903,79
904,37
905,49
906,101
907,37
908,89
909,86
910,136
911,79
912,49
913,37
914,7
915,102
916,126
917,107
918,37
919,49
920,84
921,79
922,86
923,37
924,101
925,89
926,136
927,49
928,37
929,79
930,126
931,86
932,83
933,37
934,49
935,55
936,107
937,136
938,89
939,37
940,82
941,79
942,101
943,30
944,49
945,30
946,30
947,30
948,30
949,86
950,37
951,30
952,30
953,30
954,126
955,30
956,136
957,102
958,37
959,79
960,30
961,49
962,89
963,30
964,30
965,107
966,7
967,69
968,30
969,37
970,106
971,101
972,49
973,79
974,30
975,84
976,37
977,136
978,126
979,106
980,106
981,89
982,102
983,49
984,86
985,37
986,106
987,79
988,106
989,7
990,92
991,7
992,106
993,136
994,49
995,101
996,126
997,106
998,69
999,89
1000,79
1001,82
1002,37
1003,106
1004,102
1005,49
1006,106
1007,92
1008,136
1009,106
1010,69
1011,79
1012,7
1013,105
1014,102
1015,126
1016,106
1017,7
1018,89
1019,92
1020,106
1021,102
1022,79
1023,82
1024,136
1025,92
1026,49
1027,106
1028,69
1029,106
1030,92
1031,89
1032,126
1033,7
1034,101
1035,105
1036,106
1037,79
1038,7
1039,69
1040,136
1041,102
1042,92
1043,106
1044,105
1045,106
1046,82
1047,79
1048,92
1049,89
1050,126
1051,69
1052,63
1053,136
1054,102
1055,7
1056,105
1057,38
1058,38
1059,38
1060,38
1061,92
1062,38
1063,106
1064,102
1065,38
1066,79
1067,38
1068,7
1069,38
