Id,v,longitude,latitude,rin,eevvib,eevrot,deltaebarrier,bin
163,1,-49,-44.90979,2.147921,0.194009,0.428058,-4.547256,2
164,0,-59,-44.89774,2.216363,0,0.623272,-4.589,98
165,3,-17,-44.8794,2.065586,0.572467,0.052639,-4.490503,6
166,2,-37,-44.84502,2.102311,0.384816,0.243729,-4.50709,7
167,3,-18,-44.81755,2.065825,0.572467,0.058824,-4.484761,6
168,3,-19,-44.75228,2.066077,0.572467,0.065351,-4.478723,6
169,1,-50,-44.7366,2.148624,0.194009,0.445378,-4.533763,2
170,2,-38,-44.71395,2.102829,0.384816,0.256836,-4.495755,7
171,0,-60,-44.68907,2.217247,0,0.644139,-4.572998,98
172,3,-20,-44.68359,2.066343,0.572467,0.072221,-4.472393,6
173,3,-21,-44.61148,2.066623,0.572467,0.079431,-4.465772,6
174,2,-39,-44.5795,2.103361,0.384816,0.270281,-4.48418,7
175,1,-51,-44.56006,2.149342,0.194009,0.463032,-4.520041,2
176,3,-22,-44.53597,2.066915,0.572467,0.086982,-4.458864,6
177,0,-61,-44.47709,2.218147,0,0.665337,-4.55677,1
178,3,-23,-44.45704,2.067222,0.572467,0.094875,-4.451669,6
179,2,-40,-44.44167,2.103908,0.384816,0.284063,-4.472376,7
180,1,-52,-44.38018,2.150075,0.194009,0.481019,-4.50609,2
181,3,-24,-44.37472,2.067541,0.572467,0.103108,-4.444191,6
182,2,-41,-44.30049,2.104468,0.384816,0.298182,-4.460359,7
183,3,-25,-44.28899,2.067874,0.572467,0.11168,-4.436432,6
184,0,-62,-44.26182,2.219063,0,0.686864,-4.540317,1
185,3,-26,-44.19986,2.068221,0.572467,0.120593,-4.428393,6
186,1,-53,-44.19698,2.150823,0.194009,0.499339,-4.49191,2
187,2,-42,-44.15594,2.105042,0.384816,0.312636,-4.448161,7
188,3,-27,-44.10734,2.068581,0.572467,0.129845,-4.420078,6
189,0,-63,-44.04327,2.219995,0,0.708719,-4.523641,1
190,3,-28,-44.01143,2.068955,0.572467,0.139436,-4.411488,6
191,1,-54,-44.01047,2.151586,0.194009,0.517991,-4.477502,2
192,2,-43,-44.00804,2.105631,0.384816,0.327427,-4.436406,7
193,3,-29,-43.91214,2.069342,0.572467,0.149365,-4.402625,6
194,2,-44,-43.85679,2.106234,0.384816,0.342552,-4.424437,7
195,0,-64,-43.82144,2.220943,0,0.730902,-4.506742,1
196,1,-55,-43.82064,2.152363,0.194009,0.536974,-4.462866,2
197,3,-30,-43.80946,2.069743,0.572467,0.159633,-4.393493,6
198,3,-31,-43.70341,2.070158,0.572467,0.170238,-4.384092,6
199,2,-45,-43.7022,2.106851,0.384816,0.358011,-4.412258,7
200,1,-56,-43.6275,2.153156,0.194009,0.556287,-4.448003,2
201,0,-65,-43.59635,2.221908,0,0.753412,-4.489621,1
202,3,-32,-43.59398,2.070586,0.572467,0.18118,-4.374427,6
203,4,-0,-43.56035,2.03947,0.757012,0,-4.356035,8
204,4,-1,-43.55694,2.039483,0.757012,0.00034,-4.355696,8
205,4,-2,-43.55013,2.039509,0.757012,0.001021,-4.355022,8
206,2,-46,-43.54427,2.107482,0.384816,0.373804,-4.399861,7
207,4,-3,-43.53992,2.039549,0.757012,0.002043,-4.354015,8
208,4,-4,-43.5263,2.039601,0.757012,0.003404,-4.352679,8
209,4,-5,-43.50928,2.039667,0.757012,0.005106,-4.351017,8
210,4,-6,-43.48886,2.039745,0.757012,0.007148,-4.349031,8
211,3,-33,-43.48119,2.071028,0.572467,0.19246,-4.364499,6
212,4,-7,-43.46504,2.039837,0.757012,0.009531,-4.346724,8
213,4,-8,-43.43781,2.039942,0.757012,0.012253,-4.344099,8
214,1,-57,-43.43108,2.153964,0.194009,0.57593,-4.432914,2
215,4,-9,-43.40719,2.040059,0.757012,0.015316,-4.341158,8
216,2,-47,-43.38302,2.108127,0.384816,0.389929,-4.387241,7
217,4,-10,-43.37317,2.040191,0.757012,0.018718,-4.337904,8
218,0,-66,-43.36799,2.222888,0,0.776247,-4.47228,1
219,3,-34,-43.36503,2.071483,0.572467,0.204076,-4.354312,6
220,4,-11,-43.33575,2.040335,0.757012,0.02246,-4.334339,8
221,4,-12,-43.29494,2.040492,0.757012,0.026541,-4.330466,8
222,4,-13,-43.25073,2.040663,0.757012,0.030961,-4.326287,8
223,3,-35,-43.24552,2.071952,0.572467,0.216027,-4.343869,6
224,1,-58,-43.23136,2.154787,0.194009,0.595901,-4.417601,2
225,2,-48,-43.21844,2.108787,0.384816,0.406387,-4.374399,7
226,4,-14,-43.20313,2.040846,0.757012,0.035721,-4.321805,8
227,4,-15,-43.15215,2.041043,0.757012,0.04082,-4.317023,8
