Id,Group
698,93
699,66
700,121
701,47
702,57
703,47
704,66
705,82
706,92
707,131
708,110
709,47
710,66
711,93
712,87
713,126
714,143
715,131
716,90
717,57
718,110
719,92
720,47
721,66
722,131
723,143
724,90
725,66
726,121
727,93
728,49
729,49
730,49
731,143
732,49
733,49
734,126
735,110
736,49
737,49
738,92
739,49
740,131
741,49
742,66
743,143
744,57
745,49
746,49
747,90
748,49
749,143
750,49
751,121
752,66
753,131
754,110
755,80
756,93
757,92
758,80
759,143
760,80
761,126
762,90
763,66
764,80
765,57
766,143
767,131
768,80
769,110
770,121
771,80
772,143
773,66
774,133
775,93
776,80
777,90
778,131
779,80
780,143
781,126
782,80
783,66
784,110
785,57
786,80
787,143
788,90
789,121
790,131
791,92
792,80
793,135
794,93
795,143
796,80
797,110
798,80
799,131
800,90
801,66
802,143
803,126
804,57
805,80
806,121
807,133
808,80
809,143
810,93
811,135
812,131
813,110
814,90
815,80
816,143
817,149
818,133
819,135
820,121
821,126
822,131
823,57
824,80
825,143
826,90
827,110
828,93
829,149
830,135
831,143
832,131
833,50
834,50
835,50
836,50
837,149
838,50
839,133
840,50
841,121
842,50
843,90
844,50
845,50
846,135
847,110
848,149
849,143
850,57
851,126
852,50
853,50
854,50
855,131
856,93
857,149
858,50
859,94
860,96
861,135
862,133
863,90
864,96
865,149
866,121
867,96
868,110
869,131
870,96
871,94
872,149
873,57
874,96
875,135
876,126
877,93
878,96
879,90
880,149
881,94
882,133
883,96
884,131
885,27
886,96
887,121
888,135
889,149
890,96
891,94
892,96
893,90
894,57
895,149
896,131
897,93
898,126
899,135
900,96
901,133
902,27
903,94
904,96
905,149
906,121
907,96
908,90
909,135
910,76
911,94
912,149
913,96
914,101
915,133
916,27
917,93
918,96
919,149
920,126
921,94
922,135
923,96
924,121
925,90
926,131
927,89
928,64
929,94
930,27
931,135
932,133
933,96
934,149
935,101
936,93
937,76
938,90
939,64
940,126
941,94
942,121
943,37
944,89
945,37
946,37
947,37
948,37
949,135
950,64
951,37
952,37
953,37
954,27
955,37
956,76
957,133
958,64
959,94
960,37
961,89
962,125
963,37
964,37
965,93
966,101
967,135
968,37
969,64
970,56
971,121
972,89
973,94
974,56
975,126
976,64
977,76
978,27
979,56
980,56
981,125
982,133
983,89
984,135
985,64
986,56
987,94
988,56
989,93
990,64
991,101
992,56
993,76
994,89
995,121
996,27
997,56
998,135
999,125
1000,94
1001,126
1002,64
1003,56
1004,133
1005,89
1006,56
1007,64
1008,76
1009,56
1010,135
1011,94
1012,93
1013,89
1014,121
1015,27
1016,56
1017,101
1018,125
1019,64
1020,56
1021,133
1022,94
1023,126
1024,76
1025,64
1026,89
1027,56
1028,135
1029,56
1030,64
1031,125
1032,27
1033,10
1034,121
1035,89
1036,56
1037,94
1038,101
1039,135
1040,76
1041,133
1042,64
1043,100
1044,89
1045,56
1046,95
1047,28
1048,64
1049,125
1050,27
1051,44
1052,100
1053,76
1054,10
1055,93
1056,89
1057,38
1058,38
1059,38
1060,38
1061,97
1062,38
1063,100
1064,133
1065,38
1066,94
1067,38
1068,101
1069,38
1070,38
1071,38
1072,100
1073,125
1074,64
1075,89
1076,135
1077,38
1078,27
1079,38
1080,76
1081,95
1082,38
1083,100
1084,28
1085,83
1086,121
1087,97
1088,38
