"J","v","rIn","rOut","DeltaR","E","DeltaEDiss","ERot","EVib","g","dVIn","dVOut","rMin","VMin","rMax","VMax","Tau","Egam"
30,0,2.19747e+00,2.39345e+00,2.29862e+00,-4.94787e+00,-4.96043e+00,1.65181e-01,0.00000e+00,1.22000e+02,0.00000e+00,0.00000e+00,2.28909e+00,-5.04502e+00,6.97427e+00,1.25611e-02,8.82342e+02,1.00000e-300
31,0,2.19791e+00,2.39396e+00,2.29910e+00,-4.93689e+00,-4.95066e+00,1.76156e-01,0.00000e+00,6.30000e+01,0.00000e+00,0.00000e+00,2.28956e+00,-5.03397e+00,6.88172e+00,1.37672e-02,8.82905e+02,1.00000e-300
32,0,2.19838e+00,2.39448e+00,2.29959e+00,-4.92556e+00,-4.94061e+00,1.87481e-01,0.00000e+00,1.30000e+02,0.00000e+00,0.00000e+00,2.29005e+00,-5.02258e+00,6.79242e+00,1.50455e-02,8.83487e+02,1.00000e-300
0,1,2.13092e+00,2.47133e+00,2.31067e+00,-4.91904e+00,-4.91904e+00,0.00000e+00,1.94009e-01,2.00000e+00,0.00000e+00,0.00000e+00,2.28205e+00,-5.21122e+00,4.62857e+01,0.00000e+00,8.88637e+02,1.00000e-300
1,1,2.13094e+00,2.47135e+00,2.31068e+00,-4.91868e+00,-4.91869e+00,3.52360e-04,1.94009e-01,3.00000e+00,0.00000e+00,0.00000e+00,2.28206e+00,-5.21086e+00,2.70335e+01,1.93249e-06,8.88655e+02,1.00000e-300
2,1,2.13096e+00,2.47139e+00,2.31071e+00,-4.91798e+00,-4.91799e+00,1.05703e-03,1.94009e-01,1.00000e+01,0.00000e+00,0.00000e+00,2.28210e+00,-5.21014e+00,2.11626e+01,8.80127e-06,8.88692e+02,1.00000e-300
3,1,2.13100e+00,2.47144e+00,2.31076e+00,-4.91692e+00,-4.91695e+00,2.11402e-03,1.94009e-01,7.00000e+00,0.00000e+00,0.00000e+00,2.28214e+00,-5.20906e+00,1.80607e+01,2.37837e-05,8.88747e+02,1.00000e-300
4,1,2.13106e+00,2.47151e+00,2.31082e+00,-4.91551e+00,-4.91556e+00,3.52330e-03,1.94009e-01,1.80000e+01,0.00000e+00,0.00000e+00,2.28220e+00,-5.20763e+00,1.60724e+01,4.98280e-05,8.88820e+02,1.00000e-300
33,0,2.19885e+00,2.39501e+00,2.30010e+00,-4.91389e+00,-4.93029e+00,1.99155e-01,0.00000e+00,6.70000e+01,0.00000e+00,0.00000e+00,2.29055e+00,-5.01084e+00,6.70567e+00,1.63984e-02,8.84089e+02,1.00000e-300
5,1,2.13113e+00,2.47159e+00,2.31090e+00,-4.91375e+00,-4.91384e+00,5.28475e-03,1.94009e-01,1.10000e+01,0.00000e+00,0.00000e+00,2.28228e+00,-5.20584e+00,1.46606e+01,8.97528e-05,8.88912e+02,1.00000e-300
