Potential energy surface number:
         1
Diatom type:
        OO
Number of rotational levels:
       241
Number of vibrational levels:
        45
Number of ro-vibrational levels (total, bound, quasibound):
      6115      4581      1534
Rotational quantum number, Number of ro-vibrational levels (for this rotational level), jrdotjr [hbar^2], rmin [bohr], ediamin [hartree], rmax [bohr], ediamax [hartree]
          0         45  0.0000000000000000E+00  2.2820490195380909E+00 -2.1001227493155916E-07  2.0000000000000000E+02  1.9151013767477762E-01
         18         42  3.4200000000000000E+02  2.2846242713699967E+00  2.2489594574403404E-03  8.6051318573222506E+00  1.9162059586263158E-01
         19         42  3.8000000000000000E+02  2.2849146783814387E+00  2.4985534176339731E-03  8.4135458853591523E+00  1.9163860098615373E-01
         20         41  4.2000000000000000E+02  2.2852186032286541E+00  2.7612161133579406E-03  8.2359085159183696E+00  1.9165840243764207E-01
         21         41  4.6200000000000000E+02  2.2855499204151482E+00  3.0369371839243844E-03  8.0706239651283873E+00  1.9168007652027150E-01
         22         41  5.0600000000000000E+02  2.2858617447144183E+00  3.3257054662291789E-03  7.9165053676401129E+00  1.9170369794692249E-01
         23         41  5.5200000000000000E+02  2.2862258249049550E+00  3.6275096875369173E-03  7.7724590524392427E+00  1.9172933963944211E-01
         24         41  6.0000000000000000E+02  2.2865760379261677E+00  3.9423377505211814E-03  7.6375626096285751E+00  1.9175707265778155E-01
         25         40  6.5000000000000000E+02  2.2869577714674794E+00  4.2701771827494206E-03  7.5109367243564007E+00  1.9178696631612902E-01
         26         40  7.0200000000000000E+02  2.2873625103316839E+00  4.6110149620556262E-03  7.3918201820959206E+00  1.9181908851906471E-01
         27         40  7.5600000000000000E+02  2.2877530503172716E+00  4.9648374795576390E-03  7.2794100867438072E+00  1.9185350632278439E-01
         28         40  8.1200000000000000E+02  2.2881951695246268E+00  5.3316306210028780E-03  7.1730773020855461E+00  1.9189028670726282E-01
         29         40  8.7000000000000000E+02  2.2886248844288710E+00  5.7113798383934943E-03  7.0719390628001761E+00  1.9192949753659447E-01
         30         40  9.3000000000000000E+02  2.2890766843549000E+00  6.1040700118655923E-03  6.9754288778793549E+00  1.9197120869675546E-01
         31         39  9.9200000000000000E+02  2.2895468860058417E+00  6.5096854481926404E-03  6.8828299906793236E+00  1.9201549342081156E-01
         32         39  1.0560000000000000E+03  2.2900364394245836E+00  6.9282099578309919E-03  6.7935423322550825E+00  1.9206242985070640E-01
         33         39  1.1220000000000000E+03  2.2905419140982701E+00  7.3596268719680587E-03  6.7067619810524892E+00  1.9211210293394129E-01
         34         39  1.1900000000000000E+03  2.2910631159807062E+00  7.8039189723713345E-03  6.6218820183510800E+00  1.9216460683813683E-01
         35         39  1.2600000000000000E+03  2.2916095870492965E+00  8.2610685594874771E-03  6.5381369171645130E+00  1.9222004818444921E-01
         36         39  1.3320000000000000E+03  2.2921459493706928E+00  8.7310572319795002E-03  6.4545139582462845E+00  1.9227855064481447E-01
         37         38  1.4060000000000000E+03  2.2927087710298837E+00  9.2138663328141350E-03  6.3701309199036782E+00  1.9234026190650297E-01
