 ######################################################################################################################################################
 # jqn   : the rotational q.n. of the i'th quantum state
 # vqn   : the vibrational q.n. of the i'th quantum state
 # eint  : internal energy of i'th quantum state [Eh]
 # egam  : Half width of i'th quantum state
 # rmin  : the position of the potential minimum (included centrifugal potential) for i'th quantum state
 # vmin  : the value of the potential minimun (inc. cent. pot.)
 # vmax  : the value of the local potential maximum (inc. cent. pot.)
 # tau   : the vibrational period of the i'th quantum state
 # ri    : inner turning point
 # ro    : outter turning point
 # rmax  : location of maximum in centrifugal barrier
 ######################################################################################################################################################
 #   vqn  jqn      eint           egam           rmin           rmax           vmin           vmax            tau             ri             ro
 ######################################################################################################################################################
     2   17  1.9716057E-02  0.0000000E+00  2.2843595E+00  8.8097749E+00  2.0153807E-03  1.9160463E-01  9.0625118E+02  2.0948324E+00  2.5381818E+00
     1   37  1.9808825E-02  0.0000000E+00  2.2927214E+00  6.3689350E+00  9.2207647E-03  1.9234127E-01  9.0153574E+02  2.1406064E+00  2.4836014E+00
     2   18  1.9946095E-02  0.0000000E+00  2.2846317E+00  8.6027272E+00  2.2520266E-03  1.9162094E-01  9.0659522E+02  2.0950754E+00  2.5385081E+00
     0   50  2.0175713E-02  0.0000000E+00  2.3015210E+00  4.9281310E+00  1.6658493E-02  1.9372139E-01  8.9710546E+02  2.2091062E+00  2.4069281E+00
     2   19  2.0188854E-02  0.0000000E+00  2.2849190E+00  8.4113723E+00  2.5017584E-03  1.9163896E-01  9.0695868E+02  2.0953320E+00  2.5388527E+00
     1   38  2.0296376E-02  0.0000000E+00  2.2933026E+00  6.2820893E+00  9.7166464E-03  1.9240643E-01  9.0225784E+02  2.1411353E+00  2.4842677E+00
     2   20  2.0444333E-02  0.0000000E+00  2.2852218E+00  8.2338798E+00  2.7645660E-03  1.9165878E-01  9.0734165E+02  2.0956021E+00  2.5392158E+00
     2   21  2.0712583E-02  0.0000000E+00  2.2855396E+00  8.0687572E+00  3.0404391E-03  1.9168048E-01  9.0774430E+02  2.0958855E+00  2.5395977E+00
     1   39  2.0796436E-02  0.0000000E+00  2.2938997E+00  6.1905772E+00  1.0225316E-02  1.9247523E-01  9.0300017E+02  2.1416789E+00  2.4849515E+00
     0   51  2.0832390E-02  0.0000000E+00  2.3023109E+00  4.9110503E+00  1.7318880E-02  1.9386599E-01  8.9806894E+02  2.2098499E+00  2.4077791E+00
     2   22  2.0993461E-02  0.0000000E+00  2.2858726E+00  7.9147605E+00  3.3293667E-03  1.9170413E-01  9.0816640E+02  2.0961828E+00  2.5399976E+00
     2   23  2.1287017E-02  0.0000000E+00  2.2862213E+00  7.7708263E+00  3.6313373E-03  1.9172979E-01  9.0860816E+02  2.0964938E+00  2.5404158E+00
     1   40  2.1309054E-02  0.0000000E+00  2.2945126E+00  6.0902644E+00  1.0746754E-02  1.9254801E-01  9.0376297E+02  2.1422368E+00  2.4856537E+00
     0   52  2.1501409E-02  0.0000000E+00  2.3031171E+00  4.8950477E+00  1.7991749E-02  1.9401441E-01  8.9905358E+02  2.2106097E+00  2.4086468E+00
     2   24  2.1593178E-02  0.0000000E+00  2.2865850E+00  7.6360191E+00  3.9463389E-03  1.9175755E-01  9.0906950E+02  2.0968187E+00  2.5408520E+00
     1   41  2.1834208E-02  0.0000000E+00  2.2951414E+00  5.9714370E+00  1.1280938E-02  1.9262531E-01  9.0454637E+02  2.1428090E+00  2.4863742E+00
     2   25  2.1912070E-02  0.0000000E+00  2.2869643E+00  7.5094888E+00  4.2743590E-03  1.9178747E-01  9.0955078E+02  2.0971569E+00  2.5413073E+00
     0   53  2.2182813E-02  0.0000000E+00  2.3039398E+00  4.8799500E+00  1.8677073E-02  1.9416665E-01  9.0005971E+02  2.2113850E+00  2.4095323E+00
     2   26  2.2243603E-02  0.0000000E+00  2.2873588E+00  7.3904407E+00  4.6153845E-03  1.9181963E-01  9.1005191E+02  2.0975088E+00  2.5417811E+00
     1   42  2.2371878E-02  0.0000000E+00  2.2957860E+00  5.2051529E+00  1.1827848E-02  1.9270948E-01  9.0535046E+02  2.1433956E+00  2.4871132E+00
     2   27  2.2587695E-02  0.0000000E+00  2.2877687E+00  7.2781152E+00  4.9694018E-03  1.9185408E-01  9.1057280E+02  2.0978747E+00  2.5422729E+00
     0   54  2.2876574E-02  0.0000000E+00  2.3047788E+00  4.8656240E+00  1.9374824E-02  1.9432270E-01  9.0108747E+02  2.2121757E+00  2.4104357E+00
     1   43  2.2921971E-02  0.0000000E+00  2.2964466E+00  5.1245223E+00  1.2387461E-02  1.9282032E-01  9.0617523E+02  2.1439970E+00  2.4878698E+00
     2   28  2.2944477E-02  0.0000000E+00  2.2881941E+00  7.1717820E+00  5.3363969E-03  1.9189089E-01  9.1111386E+02  2.0982540E+00  2.5427839E+00
     2   29  2.3313788E-02  0.0000000E+00  2.2886349E+00  7.0707307E+00  5.7163550E-03  1.9193014E-01  9.1167483E+02  2.0986474E+00  2.5433129E+00
     1   44  2.3484605E-02  0.0000000E+00  2.2971233E+00  5.0777032E+00  1.2959755E-02  1.9293641E-01  9.0702111E+02  2.1446124E+00  2.4886458E+00
     0   55  2.3582664E-02  0.0000000E+00  2.3056346E+00  4.8519649E+00  2.0084974E-02  1.9448255E-01  9.0213704E+02  2.2129819E+00  2.4113571E+00
     2   30  2.3695690E-02  0.0000000E+00  2.2890912E+00  6.9742690E+00  6.1092611E-03  1.9197189E-01  9.1225596E+02  2.0990545E+00  2.5438607E+00
     1   45  2.4059617E-02  0.0000000E+00  2.2978159E+00  5.0425123E+00  1.3544707E-02  1.9305703E-01  9.0788790E+02  2.1452428E+00  2.4894396E+00
     2   31  2.4090210E-02  0.0000000E+00  2.2895630E+00  6.8817216E+00  6.5150996E-03  1.9201621E-01  9.1285744E+02  2.0994752E+00  2.5444276E+00
     0   56  2.4301055E-02  0.0000000E+00  2.3065068E+00  4.8388884E+00  2.0807495E-02  1.9464621E-01  9.0320856E+02  2.2138036E+00  2.4122964E+00
     2   32  2.4497204E-02  0.0000000E+00  2.2900504E+00  6.7924145E+00  6.9338541E-03  1.9206319E-01  9.1347907E+02  2.0999101E+00  2.5450126E+00
