######################################################################################################################################################
# jqn   : the rotational q.n. of the i'th quantum state
# vqn   : the vibrational q.n. of the i'th quantum state
# eint  : internal energy of i'th quantum state [Eh]
# egam  : Half width of i'th quantum state
# rmin  : the position of the potential minimum (included centrifugal potential) for i'th quantum state
# vmin  : the value of the potential minimun (inc. cent. pot.)
# vmax  : the value of the local potential maximum (inc. cent. pot.)
# tau   : the vibrational period of the i'th quantum state
# ri    : inner turning point
# ro    : outter turning point
# rmax  : location of maximum in centrifugal barrier
######################################################################################################################################################
#    vqn  jqn   eint            egam            rmin          rmax          vmin            vmax            tau           ri             ro
######################################################################################################################################################
     1   12  1.1748410E-02  0.0000000E+00  2.2832297E+00  1.0187606E+01  1.0263574E-03  1.9154587E-01  8.9007185E+02  2.1319791E+00  2.4726946E+00
     0   35  1.1824438E-02  0.0000000E+00  2.2916096E+00  6.5381369E+00  8.2610686E-03  1.9222005E-01  8.8534876E+02  2.1997693E+00  2.3962303E+00
     1   13  1.1916551E-02  0.0000000E+00  2.2834239E+00  9.8535358E+00  1.1973491E-03  1.9155476E-01  8.9031155E+02  2.1321578E+00  2.4729190E+00
     1   14  1.2097593E-02  0.0000000E+00  2.2836231E+00  9.5541947E+00  1.3814613E-03  1.9156497E-01  8.9056985E+02  2.1323503E+00  2.4731607E+00
     1   15  1.2291529E-02  0.0000000E+00  2.2838680E+00  9.2837855E+00  1.5786865E-03  1.9157658E-01  8.9084679E+02  2.1325566E+00  2.4734198E+00
     0   36  1.2291788E-02  0.0000000E+00  2.2921459E+00  6.4545140E+00  8.7310572E-03  1.9227855E-01  8.8600780E+02  2.2002874E+00  2.3968214E+00
     1   16  1.2498351E-02  0.0000000E+00  2.2841110E+00  9.0376267E+00  1.7890169E-03  1.9158966E-01  8.9114240E+02  2.1327767E+00  2.4736962E+00
     1   17  1.2718049E-02  0.0000000E+00  2.2843592E+00  8.8123479E+00  2.0124441E-03  1.9160431E-01  8.9145672E+02  2.1330107E+00  2.4739900E+00
     0   37  1.2771884E-02  0.0000000E+00  2.2927088E+00  6.3701309E+00  9.2138663E-03  1.9234026E-01  8.8668632E+02  2.2008203E+00  2.3974294E+00
     1   18  1.2950616E-02  0.0000000E+00  2.2846243E+00  8.6051319E+00  2.2489595E-03  1.9162060E-01  8.9178981E+02  2.1332584E+00  2.4743012E+00
     1   19  1.3196042E-02  0.0000000E+00  2.2849147E+00  8.4135459E+00  2.4985534E-03  1.9163860E-01  8.9214170E+02  2.1335201E+00  2.4746299E+00
     0   38  1.3264707E-02  0.0000000E+00  2.2932909E+00  6.2833386E+00  9.7094765E-03  1.9240537E-01  8.8738441E+02  2.2013681E+00  2.3980544E+00
     1   20  1.3454317E-02  0.0000000E+00  2.2852186E+00  8.2359085E+00  2.7612161E-03  1.9165840E-01  8.9251245E+02  2.1337956E+00  2.4749760E+00
     1   21  1.3725430E-02  0.0000000E+00  2.2855499E+00  8.0706240E+00  3.0369372E-03  1.9168008E-01  8.9290210E+02  2.1340850E+00  2.4753396E+00
     0   39  1.3770238E-02  0.0000000E+00  2.2939003E+00  6.1919161E+00  1.0217868E-02  1.9247410E-01  8.8810217E+02  2.2019306E+00  2.3986964E+00
     1   22  1.4009371E-02  0.0000000E+00  2.2858617E+00  7.9165054E+00  3.3257055E-03  1.9170370E-01  8.9331072E+02  2.1343883E+00  2.4757206E+00
     0   40  1.4288456E-02  0.0000000E+00  2.2945222E+00  6.0918183E+00  1.0739020E-02  1.9254680E-01  8.8883971E+02  2.2025081E+00  2.3993554E+00
     1   23  1.4306127E-02  0.0000000E+00  2.2862258E+00  7.7724591E+00  3.6275097E-03  1.9172934E-01  8.9373836E+02  2.1347056E+00  2.4761192E+00
     1   24  1.4615687E-02  0.0000000E+00  2.2865760E+00  7.6375626E+00  3.9423378E-03  1.9175707E-01  8.9418507E+02  2.1350368E+00  2.4765354E+00
     0   41  1.4819339E-02  0.0000000E+00  2.2951433E+00  5.9733957E+00  1.1272912E-02  1.9262401E-01  8.8959714E+02  2.2031005E+00  2.4000315E+00
     1   25  1.4938038E-02  0.0000000E+00  2.2869578E+00  7.5109367E+00  4.2701772E-03  1.9178697E-01  8.9465093E+02  2.1353819E+00  2.4769691E+00
     1   26  1.5273168E-02  0.0000000E+00  2.2873625E+00  7.3918202E+00  4.6110150E-03  1.9181909E-01  8.9513601E+02  2.1357411E+00  2.4774205E+00
     0   42  1.5362867E-02  0.0000000E+00  2.2957815E+00  5.7931088E+00  1.1819523E-02  1.9270695E-01  8.9037457E+02  2.2037078E+00  2.4007248E+00
     1   27  1.5621061E-02  0.0000000E+00  2.2877531E+00  7.2794101E+00  4.9648375E-03  1.9185351E-01  8.9564035E+02  2.1361142E+00  2.4778895E+00
     0   43  1.5919017E-02  0.0000000E+00  2.2964399E+00  5.1253600E+00  1.2378831E-02  1.9281849E-01  8.9117213E+02  2.2043302E+00  2.4014352E+00
     1   28  1.5981705E-02  0.0000000E+00  2.2881952E+00  7.1730773E+00  5.3316306E-03  1.9189029E-01  8.9616405E+02  2.1365014E+00  2.4783761E+00
     1   29  1.6355084E-02  0.0000000E+00  2.2886249E+00  7.0719391E+00  5.7113798E-03  1.9192950E-01  8.9670718E+02  2.1369026E+00  2.4788805E+00
     0   44  1.6487767E-02  0.0000000E+00  2.2971072E+00  5.0782949E+00  1.2950812E-02  1.9293448E-01  8.9198991E+02  2.2049675E+00  2.4021629E+00
     1   30  1.6741183E-02  0.0000000E+00  2.2890767E+00  6.9754289E+00  6.1040700E-03  1.9197121E-01  8.9726980E+02  2.1373179E+00  2.4794026E+00
     0   45  1.7069094E-02  0.0000000E+00  2.2978036E+00  5.0430118E+00  1.3535445E-02  1.9305501E-01  8.9282805E+02  2.2056200E+00  2.4029078E+00
     1   31  1.7139987E-02  0.0000000E+00  2.2895469E+00  6.8828300E+00  6.5096854E-03  1.9201549E-01  8.9785201E+02  2.1377473E+00  2.4799425E+00
     1   32  1.7551479E-02  0.0000000E+00  2.2900364E+00  6.7935423E+00  6.9282100E-03  1.9206243E-01  8.9845388E+02  2.1381908E+00  2.4805003E+00
     0   46  1.7662974E-02  0.0000000E+00  2.2985030E+00  5.0139820E+00  1.4132706E-02  1.9317979E-01  8.9368668E+02  2.2062875E+00  2.4036701E+00
     2    0  1.7750972E-02  0.0000000E+00  2.2820490E+00  2.0000000E+02 -2.1001227E-07  1.9151014E-01  9.0356690E+02  2.0927954E+00  2.5353633E+00
     2    1  1.7763775E-02  0.0000000E+00  2.2820498E+00  2.7818720E+01  1.2957871E-05  1.9151020E-01  9.0358587E+02  2.0928089E+00  2.5353814E+00
     2    2  1.7789380E-02  0.0000000E+00  2.2820925E+00  2.1371474E+01  3.9292903E-05  1.9151044E-01  9.0362381E+02  2.0928358E+00  2.5354175E+00
     2    3  1.7827785E-02  0.0000000E+00  2.2821277E+00  1.8150288E+01  7.8794301E-05  1.9151098E-01  9.0368072E+02  2.0928761E+00  2.5354717E+00
     2    4  1.7878990E-02  0.0000000E+00  2.2821957E+00  1.6120612E+01  1.3146029E-04  1.9151193E-01  9.0375662E+02  2.0929299E+00  2.5355439E+00
     2    5  1.7942993E-02  0.0000000E+00  2.2822725E+00  1.4690098E+01  1.9728892E-04  1.9151339E-01  9.0385152E+02  2.0929971E+00  2.5356342E+00
     1   33  1.7975642E-02  0.0000000E+00  2.2905419E+00  6.7067620E+00  7.3596269E-03  1.9211210E-01  8.9907551E+02  2.1386485E+00  2.4810759E+00
