id,v,Longitude,Latitude,rIn,EeVVib,EeVRot
233,4,-1.400000e+01,-8.569564e+01,1.857229e+00,1.134173e+00,4.995190e-02
234,2,-5.000000e+01,-8.566105e+01,1.918963e+00,5.741937e-01,6.133900e-01
235,4,-1.500000e+01,-8.562433e+01,1.857387e+00,1.134173e+00,5.708290e-02
236,3,-3.700000e+01,-8.561428e+01,1.885839e+00,8.559607e-01,3.363004e-01
237,4,-1.600000e+01,-8.554828e+01,1.857557e+00,1.134173e+00,6.468770e-02
238,1,-6.100000e+01,-8.550196e+01,1.960749e+00,2.888725e-01,9.146206e-01
239,4,-1.700000e+01,-8.546750e+01,1.857737e+00,1.134173e+00,7.276620e-02
240,0,-7.000000e+01,-8.545214e+01,2.022114e+00,0.000000e+00,1.208475e+00
241,3,-3.800000e+01,-8.543330e+01,1.886249e+00,8.559607e-01,3.543984e-01
242,2,-5.100000e+01,-8.541762e+01,1.919524e+00,5.741937e-01,6.377330e-01
243,4,-1.800000e+01,-8.538198e+01,1.857927e+00,1.134173e+00,8.131820e-02
244,4,-1.900000e+01,-8.529173e+01,1.858129e+00,1.134173e+00,9.034310e-02
245,3,-3.900000e+01,-8.524764e+01,1.886669e+00,8.559607e-01,3.729642e-01
246,1,-6.200000e+01,-8.520552e+01,1.961448e+00,2.888725e-01,9.442647e-01
247,4,-2.000000e+01,-8.519675e+01,1.858341e+00,1.134173e+00,9.984100e-02
248,2,-5.200000e+01,-8.516957e+01,1.920096e+00,5.741937e-01,6.625384e-01
249,0,-7.100000e+01,-8.511199e+01,2.022945e+00,0.000000e+00,1.242490e+00
250,4,-2.100000e+01,-8.509705e+01,1.858563e+00,1.134173e+00,1.098110e-01
251,3,-4.000000e+01,-8.505731e+01,1.887100e+00,8.559607e-01,3.919969e-01
252,4,-2.200000e+01,-8.499262e+01,1.858796e+00,1.134173e+00,1.202534e-01
253,2,-5.300000e+01,-8.491691e+01,1.920679e+00,5.741937e-01,6.878047e-01
254,1,-6.300000e+01,-8.490452e+01,1.962159e+00,2.888725e-01,9.743648e-01
255,4,-2.300000e+01,-8.488349e+01,1.859040e+00,1.134173e+00,1.311673e-01
256,3,-4.100000e+01,-8.486233e+01,1.887542e+00,8.559607e-01,4.114958e-01
257,4,-2.400000e+01,-8.476963e+01,1.859295e+00,1.134173e+00,1.425525e-01
258,0,-7.200000e+01,-8.476734e+01,2.023789e+00,0.000000e+00,1.276955e+00
259,3,-4.200000e+01,-8.466268e+01,1.887996e+00,8.559607e-01,4.314605e-01
260,2,-5.400000e+01,-8.465964e+01,1.921273e+00,5.741937e-01,7.135314e-01
261,4,-2.500000e+01,-8.465107e+01,1.859560e+00,1.134173e+00,1.544085e-01
262,1,-6.400000e+01,-8.459897e+01,1.962882e+00,2.888725e-01,1.004920e+00
263,4,-2.600000e+01,-8.452781e+01,1.859836e+00,1.134173e+00,1.667353e-01
264,3,-4.300000e+01,-8.445838e+01,1.888460e+00,8.559607e-01,4.518902e-01
265,0,-7.300000e+01,-8.441819e+01,2.024644e+00,0.000000e+00,1.311870e+00
266,4,-2.700000e+01,-8.439984e+01,1.860123e+00,1.134173e+00,1.795317e-01
267,2,-5.500000e+01,-8.439778e+01,1.921879e+00,5.741937e-01,7.397178e-01
268,1,-6.500000e+01,-8.428888e+01,1.963616e+00,2.888725e-01,1.035928e+00
269,4,-2.800000e+01,-8.426718e+01,1.860420e+00,1.134173e+00,1.927978e-01
